2026-01-12 19:46:17,507 - CPU: 8.1% | Memory: 67.5%
2026-01-12 19:46:18,509 - CPU: 8.8% | Memory: 67.5%
2026-01-12 19:46:19,511 - CPU: 4.5% | Memory: 67.5%
2026-01-12 19:46:20,513 - CPU: 3.5% | Memory: 67.5%
2026-01-12 19:46:21,515 - CPU: 7.5% | Memory: 67.5%
2026-01-12 19:46:22,516 - CPU: 2.0% | Memory: 67.5%
2026-01-12 15:52:35,352 - CPU: 0.7% | Memory: 10.2%
2026-01-12 15:52:36,353 - CPU: 0.1% | Memory: 10.2%
2026-01-12 15:52:37,355 - CPU: 0.2% | Memory: 10.2%
2026-01-12 15:52:38,358 - CPU: 0.0% | Memory: 10.2%
2026-01-12 15:52:39,361 - CPU: 0.1% | Memory: 10.2%
2026-01-12 15:52:40,364 - CPU: 0.2% | Memory: 10.2%
